source,target,value
France,Austria,1
Austria,Russia,1
Russia,Germany,1
Germany,Russia,1
Germany,Italy,1
Italy,Germany,1
Germany,Austria,1
Austria,Germany,1
Germany,Spain,1
France,Poland,1
Poland,France,1
France,Germany,1
Germany,Poland,1
Poland,Germany,1
Germany,Estonia,1
Estonia,Latvia,1
Latvia,Lithuania,1
Lithuania,Finland,1
Finland,Germany,1
Poland,Belgium,1
Belgium,Netherlands,1
Netherlands,Luxembourg,1
Luxembourg,Belgium,1
Belgium,Denmark,1
Denmark,Norway,1
Norway,Denmark,1
Denmark,Sweden,1
Sweden,Germany,1
Germany,France,1
France,Italy,1
Greece,Albania,1
Albania,Greece,1
Greece,Ukraine,1
Ukraine,Belarus,1
Belarus,Libya,1
Libya,Egypt,1
Egypt,Libya,1
Egypt,Iraq,1
Japan,Germany,1
Germany,Japan,1
Japan,Russia,1
Germany,Morocco,1
Morocco,Algeria,1
Algeria,Italy,1
Japan,Thailand,1
Thailand,Singapore,1
Singapore,Japan,1
Japan,Philippines,1
Philippines,Japan,1
Japan,Solomon Islands,1
Solomon Islands,Japan,1
Japan,India,1
India,Japan,1
Russia,France,1
France,India,1
India,Pakistan,1
Pakistan,Israel,1
Israel,South Africa,1
South Africa,Israel,1
Israel,Libya,1
Libya,Iran,1
Iran,Germany,1
France,Japan,1
Papua New Guinea,India,1
Pakistan,Philippines,1
Philippines,Laos,1
Laos,Cambodia,1
Cambodia,Kenya,1
Kenya,Ghana,1
Ghana,Seychelles,1
Seychelles,Angola,1
Angola,Mozambique,1
Latvia,Estonia,1
Estonia,Lithuania,1
Finland,Romania,1
Romania,Albania,1
Albania,Bulgaria,1
Bulgaria,Poland,1
Poland,Romania,1
Romania,Hungary,1
Hungary,Mongolia,1
Mongolia,Cuba,1
Cuba,United States,1
United States,Canada,1
Canada,Australia,1
Australia,Vietnam,1
Vietnam,Cambodia,1
Cambodia,Vietnam,1
Vietnam,Cuba,1
Russia,Japan,1
South Africa,Rwanda,1
Russia,Finland,1
Germany,Norway,1
Italy,Greece,1
Italy,Japan,1
Romania,Russia,1
Lebanon,India,1
India,Singapore,1
